q-код	Артикул	Раздел	Тип	Производитель	Наименование	Название	Коллекция	Размер	Цвет	Артикулы связанных товаров	Вес упаковки	Плиток в упаковке	Метраж упаковки	Единица измерения	Изображение	Интерьеры	Домус	Цена	Описание Товара	Назначение	Тип поверхности	Рисунок	Оформление															
q15827	16018	Неаполитанская коллекция	Настенная плитка	Керама Марацци	16018 Авеллино серый структура mix 7.4*15 керамическая плитка	Авеллино	Неаполитанская коллекция	7,4*15	серый		13,7500	88	0,9800	кв.м	16018.jpg			1102,12		Плитка для ванной	глянцевая	моноколор																
q15822	16019	Неаполитанская коллекция	Настенная плитка	Керама Марацци	16019 Авеллино коричневый структура mix 7.4*15 керамическая плитка	Авеллино	Неаполитанская коллекция	7,4*15	коричневый		13,7500	88	0,9800	кв.м	16019.jpg			1102,12		Плитка для ванной	глянцевая	моноколор																
q15823	16020	Неаполитанская коллекция	Настенная плитка	Керама Марацци	16020 Авеллино фисташковый структура mix 7.4*15 керамическая плитка	Авеллино	Неаполитанская коллекция	7,4*15	фисташковый		13,7500	88	0,9800	кв.м	16020.jpg			1102,12		Плитка для ванной	глянцевая	моноколор																
q15824	16016	Неаполитанская коллекция	Настенная плитка	Керама Марацци	16016 Авеллино чёрный структура mix 7.4*15 керамическая плитка	Авеллино	Неаполитанская коллекция	7,4*15	черный		13,7500	88	0,9800	кв.м	16016.jpg			1472,64		Плитка для ванной	глянцевая	моноколор																
q15816	18004	Неаполитанская коллекция	Настенная плитка	Керама Марацци	18004 Авеллино голубой 15*15 керамическая плитка	Авеллино	Неаполитанская коллекция	15*15	голубой		12,3438	48	1,0200	кв.м	18004.jpg			1076,16		Плитка для ванной	глянцевая	моноколор																
q15818	18006	Неаполитанская коллекция	Настенная плитка	Керама Марацци	18006 Авеллино белый 15*15 керамическая плитка	Авеллино	Неаполитанская коллекция	15*15	белый		12,3438	48	1,0200	кв.м	18006.jpg			1076,16		Плитка для ванной	глянцевая	моноколор																
q15819	18007	Неаполитанская коллекция	Настенная плитка	Керама Марацци	18007 Авеллино серый 15*15 керамическая плитка	Авеллино	Неаполитанская коллекция	15*15	серый		12,3438	48	1,0200	кв.м	18007.jpg			1076,16		Плитка для ванной	глянцевая	моноколор																
q15820	18008	Неаполитанская коллекция	Настенная плитка	Керама Марацци	18008 Авеллино коричневый 15*15 керамическая плитка	Авеллино	Неаполитанская коллекция	15*15	коричневый		12,3438	48	1,0200	кв.м	18008.jpg			1076,16		Плитка для ванной	глянцевая	моноколор																
q15821	18009	Неаполитанская коллекция	Настенная плитка	Керама Марацци	18009 Авеллино фисташковый 15*15 керамическая плитка	Авеллино	Неаполитанская коллекция	15*15	фисташковый		12,3438	48	1,0200	кв.м	18009.jpg			1076,16		Плитка для ванной	глянцевая	моноколор																
q15817	18005	Неаполитанская коллекция	Настенная плитка	Керама Марацци	18005 Авеллино чёрный 15*15 керамическая плитка	Авеллино	Неаполитанская коллекция	15*15	черный		12,3438	48	1,0200	кв.м	18005.jpg			1261,42		Плитка для ванной	глянцевая	моноколор																
q15080	FC/A11/4x/6274	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	FC/A11/4x/6274 Аверно Портрет 50*80 панно	Аверно	Неаполитанская коллекция	50*80			11,9000	2	0,0000	шт	FC_A11_4x_6274.jpg			2461,48		Декоративные элементы		особенное																
q15079	HGD/A15/4x/6000	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	HGD/A15/4x/6000 Аверно Закат 50*80 панно	Аверно	Неаполитанская коллекция	50*80			0,0000	2	0,0000	шт	HGD_A15_4x_6000.jpg			1643,74		Декоративные элементы		особенное																
q15081	FC/A01/3x/6274	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	FC/A01/3x/6274 Аверно Рыбы 25*120 панно	Аверно	Неаполитанская коллекция	25*120			13,3000	3	0,0000	шт	FC_A01_3x_6274.jpg			1439,6		Декоративные элементы		особенное																
q15089	MM6279	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	MM6279 Аверно мозаичный 25*40 декор	Аверно	Неаполитанская коллекция	25*40			10,1800	8	0,0000	шт	MM6279.jpg			618,32		Декоративные элементы		абстракция																
q15088	MM6280	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	MM6280 Аверно мозаичный 25*40 декор	Аверно	Неаполитанская коллекция	25*40			10,1800	8	0,0000	шт	MM6280.jpg			618,32		Декоративные элементы		абстракция																
q15087	MM6281	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	MM6281 Аверно мозаичный 25*40 декор	Аверно	Неаполитанская коллекция	25*40			10,1800	8	0,0000	шт	MM6281.jpg			618,32		Декоративные элементы		абстракция																
q15086	MM6282	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	MM6282 Аверно мозаичный 25*40 декор	Аверно	Неаполитанская коллекция	25*40			10,1800	8	0,0000	шт	MM6282.jpg			618,32		Декоративные элементы		абстракция																
q15064	4242	Неаполитанская коллекция	Напольная плитка	Керама Марацци	4242 Аверно зеленый 40.2*40.2 керамическая плитка	Аверно	Неаполитанская коллекция	40,2*40,2	зеленый		31,1250	10	1,6200	кв.м	4242.jpg			844,88		Напольная плитка		моноколор																
q15065	4243	Неаполитанская коллекция	Напольная плитка	Керама Марацци	4243 Аверно розовый 40.2*40.2 керамическая плитка	Аверно	Неаполитанская коллекция	40,2*40,2	розовый		31,1250	10	1,6200	кв.м	4243.jpg			844,88		Напольная плитка		моноколор																
q15066	4244	Неаполитанская коллекция	Напольная плитка	Керама Марацци	4244 Аверно бежевый светлый 40.2*40.2 керамическая плитка	Аверно	Неаполитанская коллекция	40,2*40,2	бежевый		31,1250	10	1,6200	кв.м	4244.jpg			844,88		Напольная плитка		моноколор	averno1.jpg															
q15067	4245	Неаполитанская коллекция	Напольная плитка	Керама Марацци	4245 Аверно серый 40.2*40.2 керамическая плитка	Аверно	Неаполитанская коллекция	40,2*40,2	серый		31,1250	10	1,6200	кв.м	4245.jpg			844,88		Напольная плитка		моноколор	averno2.jpg															
q15063	6271	Неаполитанская коллекция	Настенная плитка	Керама Марацци	6271 Аверно серый 25*40 керамическая плитка	Аверно	Неаполитанская коллекция	25*40	серый		16,2500	11	1,1000	кв.м	6271.jpg	averno1.jpg		807,12		Плитка для кухни	глянцевая	моноколор	averno3.jpg															
q15068	6272	Неаполитанская коллекция	Настенная плитка	Керама Марацци	6272 Аверно зеленый 25*40 керамическая плитка	Аверно	Неаполитанская коллекция	25*40	зеленый		16,2500	11	1,1000	кв.м	6272.jpg	averno2.jpg		807,12		Плитка для ванной	глянцевая	моноколор	averno4.jpg															
q15069	6273	Неаполитанская коллекция	Настенная плитка	Керама Марацци	6273 Аверно розовый 25*40 керамическая плитка	Аверно	Неаполитанская коллекция	25*40	розовый		16,2500	11	1,1000	кв.м	6273.jpg	averno3.jpg		807,12		Плитка для ванной	глянцевая	моноколор	averno5.jpg															
q15070	6274	Неаполитанская коллекция	Настенная плитка	Керама Марацци	6274 Аверно бежевый светлый 25*40 керамическая плитка	Аверно	Неаполитанская коллекция	25*40	бежевый		16,2500	11	1,1000	кв.м	6274.jpg			807,12		Плитка для ванной	глянцевая	моноколор	averno6.jpg															
q15085	STG/A429/6000	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/A429/6000 Аверно 25*40 декор	Аверно	Неаполитанская коллекция	25*40	серый		14,5100	10	0,0000	шт	STG_A429_6000.jpg			233,64		Декоративные элементы		абстракция																
q15084	STG/B429/6000	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/B429/6000 Аверно 25*40 декор	Аверно	Неаполитанская коллекция	25*40	серый		14,5100	10	0,0000	шт	STG_B429_6000.jpg			233,64		Декоративные элементы		абстракция																
